iter	MultiClass
0	1.038650029
1	0.9863453426
2	0.9417549862
3	0.9036455634
4	0.8685849531
5	0.8344044463
6	0.8062204755
7	0.7802848392
8	0.7548206681
9	0.7309393526
10	0.7074428988
11	0.6863066776
12	0.6691533708
13	0.6531647234
14	0.636919677
15	0.6222178423
16	0.6084375608
17	0.5956867747
18	0.5855070671
19	0.573585647
20	0.5620545754
21	0.5519061358
22	0.5424170264
23	0.5334756752
24	0.5243884051
25	0.5166054366
26	0.5093418965
27	0.5030548532
28	0.4948613874
29	0.4874066048
30	0.481076191
31	0.4735507664
32	0.4655862644
33	0.4603245959
34	0.4539998604
35	0.4493239006
36	0.4447496926
37	0.4404236698
38	0.4357249351
39	0.4309533081
40	0.427850903
41	0.4241067393
42	0.4196848969
43	0.4173164809
44	0.4124008148
45	0.4074406261
46	0.4042236074
47	0.4010690078
48	0.3977231113
49	0.3934416529
50	0.3899081023
51	0.3864678688
52	0.3836150519
53	0.3801300729
54	0.3779732124
55	0.3753649509
56	0.3726486813
57	0.369841829
58	0.3659734583
59	0.3634858022
60	0.3605862454
61	0.3579741915
62	0.355509958
63	0.352792448
64	0.3508710199
65	0.3488633309
66	0.3458267563
67	0.3440098526
68	0.3408094617
69	0.3396311065
70	0.3361722346
71	0.333760853
72	0.3321697354
73	0.3292982211
74	0.3274492124
75	0.32514886
76	0.3226524177
77	0.3204025814
78	0.3176979279
79	0.3147884682
80	0.3129471545
81	0.3106927827
82	0.3085071041
83	0.3073049831
84	0.3057398433
85	0.3042111123
86	0.302533573
87	0.3013259209
88	0.299298254
89	0.2980423566
90	0.2959353802
91	0.2947559261
92	0.2923989664
93	0.2908422012
94	0.2897939015
95	0.2877103702
96	0.2859413142
97	0.2841531811
98	0.2827277681
99	0.2816971883
100	0.2798507777
101	0.2788677914
102	0.2765571635
103	0.2753415474
104	0.2735186013
105	0.2719918751
106	0.2709753395
107	0.2701172403
108	0.2690539752
109	0.2678348881
110	0.26643594
111	0.2652535187
112	0.2640956337
113	0.2622483952
114	0.2611160828
115	0.2590988472
116	0.2582953037
117	0.2576083089
118	0.2564174615
119	0.255712287
120	0.2543865553
121	0.2530955267
122	0.252603407
123	0.2519066099
124	0.2507325581
125	0.2491606566
126	0.2479783837
127	0.2463477274
128	0.2456048311
129	0.2448186721
130	0.2436790135
131	0.2424136167
132	0.2412598322
133	0.240147068
134	0.2387476237
135	0.237367704
136	0.2361672392
137	0.2355534888
138	0.2349015832
139	0.2332638237
140	0.2313035223
141	0.2304320689
142	0.2287393434
143	0.2271729123
144	0.2266381037
145	0.2259719879
146	0.2252279602
147	0.224364502
148	0.2235528115
149	0.2220424806
150	0.2207517047
151	0.2200201397
152	0.2188863008
153	0.2182255096
154	0.2170171541
155	0.2162890493
156	0.2154096947
157	0.2143067285
158	0.2133330579
159	0.2118372387
160	0.2104045342
161	0.2096540863
162	0.2085713173
163	0.2078860518
164	0.2073425309
165	0.2065092552
166	0.2059678904
167	0.2052001968
168	0.2046893799
169	0.2041442976
170	0.2030558548
171	0.2025162941
172	0.2018147938
173	0.2006244649
174	0.1996936039
175	0.1991474634
176	0.1977122785
177	0.1964908721
178	0.1957332581
179	0.195040437
180	0.1944231151
181	0.1934689377
182	0.1927226626
183	0.1922178369
184	0.1916080393
185	0.1910990151
186	0.1903895294
187	0.1898405369
188	0.189344431
189	0.1885580735
190	0.1880872695
191	0.1872572057
192	0.1865333651
193	0.1858107342
194	0.1847310057
195	0.1841145589
196	0.1837527569
197	0.1828137961
198	0.1822137577
199	0.1820123639
200	0.1812106192
201	0.1799781541
202	0.1795537573
203	0.178732455
204	0.1772479597
205	0.1765943326
206	0.1758669997
207	0.1747032783
208	0.1738849388
209	0.1730295498
210	0.1722358323
211	0.1717027184
212	0.1710030463
213	0.1704091229
214	0.1692918685
215	0.1689106752
216	0.1682475219
217	0.1679680463
218	0.167295719
219	0.1665964451
220	0.1660557315
221	0.1655397376
222	0.1649823324
223	0.1643879692
224	0.1639423358
225	0.1633418746
226	0.1630558499
227	0.1623000072
228	0.1617435971
229	0.1613861823
230	0.1604819377
231	0.1598202158
232	0.1594067227
233	0.1589005776
234	0.1583462864
235	0.1577159301
236	0.1571039149
237	0.1567860964
238	0.1562255724
239	0.1556937256
240	0.155255293
241	0.1549868697
242	0.1547762721
243	0.1542852361
244	0.1537202464
245	0.1533565741
246	0.1528950292
247	0.1520830769
248	0.1516370544
249	0.1513722296
250	0.1505495586
251	0.149929617
252	0.1493282937
253	0.1490865003
254	0.1487385805
255	0.148100479
256	0.1477929154
257	0.1467171825
258	0.1462946082
259	0.146017754
260	0.1454084966
261	0.1448626704
262	0.1442300239
263	0.1434832922
264	0.1433015208
265	0.1424676752
266	0.1421562059
267	0.1418962745
268	0.14133022
269	0.1408831789
270	0.1402897394
271	0.1396939963
272	0.1393748798
273	0.1391074409
274	0.1387651025
275	0.1381811766
276	0.1375431515
277	0.1369219478
278	0.1365709966
279	0.1363455465
280	0.135938071
281	0.1353599967
282	0.1348732782
283	0.1346454189
284	0.1342490165
285	0.134042509
286	0.1337805672
287	0.1333993055
288	0.1330280363
289	0.1327196413
290	0.1325990595
291	0.1320837272
292	0.1313775289
293	0.1308082612
294	0.1302620034
295	0.1299166846
296	0.1297344723
297	0.1287792495
298	0.1283349844
299	0.128044516
300	0.1277373048
301	0.1274194835
302	0.1269562032
303	0.1264389602
304	0.1261112036
305	0.1256043819
306	0.1251484537
307	0.124929765
308	0.1244580102
309	0.1239385105
310	0.1237233049
311	0.1234188253
312	0.1232662369
313	0.1229172343
314	0.122559071
315	0.1220300495
316	0.1217012234
317	0.121461983
318	0.1212494982
319	0.1208242517
320	0.1205324662
321	0.1199337958
322	0.1195184305
323	0.1188584081
324	0.1184049967
325	0.1180900415
326	0.1176846288
327	0.1174398754
328	0.1169521164
329	0.1166796423
330	0.1162218057
331	0.1157424989
332	0.1154310837
333	0.1149850332
334	0.1147371667
335	0.1144145704
336	0.1141275611
337	0.1136810107
338	0.1134997812
339	0.1133153937
340	0.11277646
341	0.11246399
342	0.1120094298
343	0.1118385278
344	0.1113154984
345	0.1109241919
346	0.1105946677
347	0.1102172711
348	0.1099186659
349	0.109372102
350	0.1087450756
351	0.1083022989
352	0.1081391935
353	0.1078606497
354	0.1076242807
355	0.1073856524
356	0.1071395273
357	0.1067062125
358	0.1063849126
359	0.1060259537
360	0.1057009673
361	0.1054692832
362	0.1052178883
363	0.1050166541
364	0.1048178376
365	0.1046336341
366	0.1043085898
367	0.10409062
368	0.1038754072
369	0.1035982788
370	0.1032251478
371	0.1030253879
372	0.1028077262
373	0.1022011438
374	0.1020380467
375	0.1018069943
376	0.1014689048
377	0.1011615137
378	0.1008099529
379	0.1005867639
380	0.1001665048
381	0.09961379917
382	0.099191137
383	0.09891307663
384	0.09861907265
385	0.09814073549
386	0.09764450384
387	0.09722600059
388	0.09694427986
389	0.0966971106
390	0.0965251983
391	0.09641081502
392	0.09619059314
393	0.09598245715
394	0.09588858786
395	0.09570826543
396	0.09521202475
397	0.09498058892
398	0.09480809695
399	0.09463590217
400	0.0944190431
401	0.0940547824
402	0.0937502208
403	0.09359564684
404	0.09344733423
405	0.09322552797
406	0.0929421625
407	0.09262497162
408	0.09252301898
409	0.09231457879
410	0.09207513367
411	0.09194811994
412	0.09167597561
413	0.09147350409
414	0.09120537571
415	0.09104864436
416	0.09087701295
417	0.0906808944
418	0.09034980723
419	0.09010256841
420	0.08984906357
421	0.08966007912
422	0.08940381224
423	0.08931472035
424	0.08921596549
425	0.08900901566
426	0.08862075082
427	0.0884798459
428	0.08813669753
429	0.08800746463
430	0.08767208607
431	0.08754754167
432	0.08730277573
433	0.08716486573
434	0.08698841569
435	0.08675196261
436	0.08660531626
437	0.08646629979
438	0.08636376054
439	0.08621239046
440	0.08602751925
441	0.08585815518
442	0.08555956959
443	0.08518753696
444	0.0850576668
445	0.08465593595
446	0.08454036399
447	0.08428492564
448	0.08421566066
449	0.08399652206
450	0.08374515797
451	0.08354944484
452	0.08333941347
453	0.08314989398
454	0.08301601649
455	0.08269963945
456	0.08251606683
457	0.08223272003
458	0.08197053437
459	0.08181968443
460	0.08161161249
461	0.08141091176
462	0.08112495095
463	0.0808900165
464	0.08076289892
465	0.08059931397
466	0.08035644959
467	0.08026031971
468	0.08013726373
469	0.07997245874
470	0.07977565351
471	0.07964833405
472	0.07948541928
473	0.07932499699
474	0.07895404005
475	0.07868764634
476	0.07846689159
477	0.07830612621
